;E;N
sxj4052z;681645.933;6874406.664
sxj3052z;686952.958;6838304.648
sxj1052z;708119.579;6849017.658
sxj9052z;643927.024;6839514.685
sxj8052z;625077.571;6839888.665
sxj7052z;612910.179;6856613.144
sxj6052z;571092.458;6951968.387
